timestep,latitude,longitude,h,vel,dir,hor_acc,ver_acc,timestamps
0.014971971509999998,52.10826314,5.092797565,3.478946447,-1.0,-1.0,10.6558955,10.6558955,1686140010.651846
0.014971971509999998,52.10826314,5.092797565,3.150141478,-1.0,-1.0,10.6558955,10.6558955,1686140010.651846
0.8857929707,52.10826314,5.092797565,3.12349534,-1.0,-1.0,10.6558955,10.6558955,1686140011.522667
2.735568047,52.10826314,5.092797565,3.112318993,-1.0,-1.0,10.6558955,10.6558955,1686140013.372442
5.516124725,52.10823972,5.092751366,2.329860837,1.019999981,87.53907424,14.16636278,14.16636278,1686140016.1529987
6.516093612000001,52.10823782,5.092749819,2.715663977,0.0,-1.0,13.59354693,13.59354693,1686140017.1529677
7.516095877000001,52.10824281,5.092756944,2.984279701,0.4300000072,-1.0,12.13891987,12.13891987,1686140018.1529698
8.516101956,52.10824759,5.092758117,3.4006005,0.0,-1.0,13.27949185,13.27949185,1686140019.1529758
9.516103268,52.10825362,5.092761219,3.796901771,0.2300000042,-1.0,11.40055369,11.40055369,1686140020.1529772
10.51610553,52.10826414,5.092764571,4.06441886,0.2300000042,-1.0,9.058166068,9.058166068,1686140021.1529794
11.51611388,52.10827487,5.09275795,5.292812415,0.4099999964,-1.0,8.513382725,8.513382725,1686140022.152988
12.5161196,52.10828329,5.092754848,4.951686926,0.1599999964,-1.0,8.227017381,8.227017381,1686140023.1529937
13.51612139,52.10828795,5.092744622,5.763698643,0.4099999964,-1.0,8.045829247,8.045829247,1686140024.1529953
14.51612961,52.10829306,5.092738587,6.016201085,0.3899999857,-1.0,7.433375234,7.433375234,1686140025.1530035
15.5161351,52.10830064,5.092733391,6.9107933710000005,0.2099999934,-1.0,7.275666576,7.275666576,1686140026.1530092
16.51614177,52.10830949,5.092727607,8.10537345,0.30000001190000003,-1.0,6.586375042999999,6.586375042999999,1686140027.1530156
17.51614761,52.10831607,5.092721321,9.213954992,0.18000000719999998,-1.0,5.897314217000001,5.897314217000001,1686140028.1530216
18.51615012,52.10831984,5.092711682,10.72713859,0.30000001190000003,-1.0,5.600052012999999,5.600052012999999,1686140029.1530242
19.51614928,52.10832315,5.09270506,11.49093253,0.3300000131,-1.0,5.480887824,5.480887824,1686140030.1530232
20.51615393,52.10834266,5.092692114,12.87081545,1.139999986,336.09374469999995,5.353971415,5.353971415,1686140031.1530278
21.5161624,52.10835186,5.092695566000001,12.53292476,0.6899999976000001,0.35156254880000004,5.704247361,5.704247361,1686140032.1530364
22.51616859,52.108276399999994,5.0927803460000005,2.167229764,0.1889529647,-1.0,10.14582804,10.14582804,1686140033.1530426
23.51617455,52.108270000000005,5.092773741,2.123880342,0.1292330546,-1.0,12.37589314,12.37589314,1686140034.1530485
24.51618087,52.108289299999996,5.092816467,2.183140994,0.5749696401,-1.0,9.612856911,9.612856911,1686140035.1530547
25.51618791,52.10829541,5.092828932,2.155269964,0.6646921873,-1.0,11.81406078,11.81406078,1686140036.1530619
26.51619291,52.10827969,5.092756184,2.196342379,0.6141022318,-1.0,10.6002817,10.6002817,1686140037.1530669
27.5161978,52.10828154,5.092750649,2.154824541,0.5744536806,-1.0,13.01434725,13.01434725,1686140038.1530716
28.51620412,52.10828358,5.092746255,2.121884565,0.5191701727,-1.0,16.07542201,16.07542201,1686140039.153078
29.51621044,52.10827982,5.092647811,8.545314788999999,0.3400000036,192.3046875,4.515044173,4.515044173,1686140040.1530845
