timestep,x,y,z,timestamps
0.01338945834,29.60620117,-4.791912078999999,-34.51570129,1686140010.6502633
0.02339645833,29.29277039,-4.724300385,-34.74949646,1686140010.6602705
0.03340245834,28.96768951,-4.505443573,-34.96864319,1686140010.6702764
0.04340845834,27.92724609,-3.763570786,-35.71258545,1686140010.6802824
0.05341445834,27.03791046,-3.036689758,-36.44146729,1686140010.6902883
0.06342045833,25.87160492,-2.5354301930000003,-37.2273407,1686140010.7002945
0.07342645833,24.7145462,-1.915334225,-37.91201782,1686140010.7103004
0.08343245834,23.21551514,-1.00830698,-38.77151489,1686140010.7203064
0.09343845834,21.65222168,-0.3094143271,-39.73118591,1686140010.7303123
0.1034454583,20.11615753,0.6514444350999999,-40.35902405,1686140010.7403195
0.1134514583,18.68844604,1.621255875,-41.16215515,1686140010.7503254
0.1234574583,17.33759308,2.74247694,-41.72506714,1686140010.7603314
0.1334634583,16.4196167,4.002130985,-41.97093201,1686140010.7703373
0.1434694583,16.08296967,5.198442936,-41.92330933,1686140010.7803435
0.1534754583,16.27909088,6.484784603,-41.85176086,1686140010.7903495
0.1634814583,17.01612091,7.606243134,-41.41923523,1686140010.8003554
0.17348845829999998,18.315795899999998,8.661726952,-40.60134888,1686140010.8103623
0.1834944583,19.8072052,9.629673003999999,-39.61091614,1686140010.8203685
0.1935004583,20.44405365,10.35025978,-39.04284668,1686140010.8303745
0.2035064583,20.46147156,11.22550011,-38.65983582,1686140010.8403804
0.2135124583,20.00033569,12.08586407,-38.55239868,1686140010.8503864
0.2235184583,19.69696808,12.88234997,-38.63601685,1686140010.8603923
0.2335244583,19.14131927,13.54095078,-38.45018005,1686140010.8703985
0.2435304583,18.55979919,14.12361908,-38.83586121,1686140010.8804045
0.2535374583,18.16111755,14.50602531,-38.87295532,1686140010.8904114
0.2635434583,17.99443054,14.60263634,-38.60972595,1686140010.9004173
0.2735494583,18.62176514,14.32064247,-38.42379761,1686140010.9104235
0.2835554583,19.3088913,13.81686497,-38.38183594,1686140010.9204295
0.2935614583,20.56937408,13.00775146,-37.95275879,1686140010.9304354
0.3035674583,22.19924927,11.99835205,-37.39364624,1686140010.9404414
0.3135734583,24.05133057,10.95408726,-36.79338074,1686140010.9504473
0.3235804583,25.73271942,9.844827652000001,-36.03097534,1686140010.9604545
0.3335864583,27.685813899999996,8.96939373,-34.65159607,1686140010.9704604
0.3435924583,29.56826782,8.361089706,-33.15917969,1686140010.9804664
0.3535984583,31.86840057,7.833529472,-31.36192322,1686140010.9904723
0.3636044583,33.31283569,7.475976944,-29.8371582,1686140011.0004785
0.3736104583,33.699050899999996,7.369628906,-29.2908783,1686140011.0104845
0.3836164583,33.54080963,7.3542070389999985,-29.50192261,1686140011.0204904
0.3936224583,33.38828278,7.653151512000001,-29.70031738,1686140011.0304964
0.4036294583,33.08364105,8.357684135,-29.95892334,1686140011.0405035
0.4136354583,32.61968231,9.269901276,-30.1043396,1686140011.0505095
0.4236414583,32.381073,10.21739864,-30.05508423,1686140011.0605154
0.4336474583,32.18270874,10.9683075,-29.69595337,1686140011.0705214
0.4436534583,32.24156952,12.30104351,-29.20776367,1686140011.0805273
0.4536594583,32.1346283,13.685344699999998,-28.93275452,1686140011.0905335
0.4636654583,32.16290283,14.92072296,-28.36849976,1686140011.1005394
0.4736724583,32.35470581,16.6243782,-26.99717712,1686140011.1105464
0.4836784583,32.28886414,18.25413513,-26.0226593,1686140011.1205523
0.4936844583,32.29679871,19.86589432,-24.64767456,1686140011.1305585
0.5036904583,32.15458679,21.21053696,-23.48728943,1686140011.1405644
0.5136964583,31.92168427,22.39335632,-22.37319946,1686140011.1505704
0.5237024583,31.71408081,23.48942375,-21.44462585,1686140011.1605763
0.5337084583,31.18278503,24.44514465,-21.25570679,1686140011.1705825
