timestep,x,y,z,timestamps
0.01581383334,-0.3808056204,0.1606921573,0.004342142344000001,1686140010.6526878
0.02583383333,-0.103136698,0.003457970247,-0.03473947763,1686140010.6627078
0.03585283333,0.2006105138,-0.09820749521,-0.08026940703,1686140010.6727269
0.045872833330000015,0.4179686227,-0.1664453059,0.027114123700000003,1686140010.682747
0.05589283333,0.5451239285,-0.05815647997,0.4845441431000001,1686140010.692767
0.06591283334,0.8655162629,0.4186244611,1.020629738,1686140010.7027867
0.07593283332999999,0.6395814581,0.4658173386,0.9923543572,1686140010.7128067
0.08595283332999999,-0.1533903006,0.5462543415,1.083608928,1686140010.7228267
0.09597283333,0.8198932165999999,-0.4683600003,1.053025652,1686140010.7328467
0.1059918333,0.4926492611,-0.4866090142,0.03771921873,1686140010.7428658
0.1160118333,0.3272946802,1.1300269040000002,0.25571862100000003,1686140010.7528858
0.1260318333,-0.09468849465,2.055053935,1.172148052,1686140010.7629058
0.1360518333,-0.7486586349,2.097509691,1.148157511,1686140010.7729259
0.1460718333,-0.62890415,1.570521925,0.842507177,1686140010.7829459
0.1560918333,-0.471670036,1.26891494,0.6087255549,1686140010.792966
0.1661118333,-0.1363382117,0.8331139174,-0.6737085861,1686140010.802986
0.17613083329999998,0.8937897432999999,-1.617256234,-1.466500981,1686140010.8130047
0.1861508333,1.393907507,-2.668673317,-1.971347242,1686140010.8230247
0.1961708333,-2.721147984,1.921592407,-4.8874063130000005,1686140010.8330448
0.2061908333,-1.553848004,1.208222523,1.202084627,1686140010.8430648
0.2162108333,-0.7390757793000001,-0.8634980965000001,-0.2718230224,1686140010.8530848
0.2262308333,-0.9985133757,-0.2414289396,-3.076807215,1686140010.8631048
0.2362508333,-3.2186419560000004,1.040976587,-3.228010365,1686140010.8731248
0.2462698333,-3.430818116,-0.09747220784,-2.187615284,1686140010.883144
0.2562898333,-2.9161336230000003,-1.857767417,-2.36302883,1686140010.8931637
0.2663098333,-2.764330549,-2.526049787,-2.729878462,1686140010.9031837
0.2763298333,-1.176014889,-3.699860787,-3.946027982,1686140010.9132037
0.2863498333,9.391877303,-6.216739801,-3.600157574,1686140010.9232237
0.2963698333,3.5910920510000004,-0.07361352146000001,5.587061918,1686140010.9332438
0.3063888333,-2.747673293,6.034611897,0.5896104222999999,1686140010.9432628
0.3164088333,-2.684653465,0.2186271009,3.599742422,1686140010.9532828
0.3264288333,-1.544958775,-4.565932536,1.451802251,1686140010.9633029
0.3364488333,-0.5619228329,-0.7068580595999999,-7.439207822,1686140010.9733229
0.3464688333,-4.229395454,1.478701635,-3.5268025,1686140010.983343
0.3564888333,-4.56864769,1.677512815,-2.533295072,1686140010.993363
0.3665088333,-4.659435946,2.113158594,-3.619829362,1686140011.0033827
0.3765278333,-4.110899583,2.661173093,-3.025383877,1686140011.0134017
0.3865478333,-3.939480854,2.904409663,-1.82824541,1686140011.0234218
0.3965678333,-3.3387654,2.472935434,-1.203237113,1686140011.0334418
0.4065878333,-2.169292156,0.8291623691,-2.699158945,1686140011.0434618
0.4166078333,-0.5885588005,-2.172860712,-5.586058536,1686140011.0534818
0.4266278333,-0.08170358285,-3.408717687,-6.306088765,1686140011.0635018
0.4366468333,-0.4453397316,-3.963531622,-2.545038035,1686140011.073521
0.4466668333,0.1057381243,-3.253674671,-3.306311599,1686140011.0835407
0.4566868333,0.3035102534,-2.357113494,-4.718424703999999,1686140011.0935607
0.4667068333,0.7292246827,-2.75986006,-2.4471597380000003,1686140011.1035807
0.4767268333,1.165673431,-3.011245602,-1.221256478,1686140011.1136007
0.4867468333,0.9250809717,-2.61202403,-0.6829483563,1686140011.1236207
0.4967668333,0.4272268116,-3.626734339,2.420365457,1686140011.1336408
0.5067858332999999,1.250674112,-5.160738502,-2.4622017000000005,1686140011.1436598
0.5168058333,1.103996415,-5.795798746,0.05971235096,1686140011.1536798
0.5268258333,0.6622416114999999,-4.855211543,0.3162337947,1686140011.1636999
0.53684475,0.6221022302,-4.397878588,0.455519734,1686140011.1737187
0.54686475,0.1724636257,-3.818509564,1.682256807,1686140011.1837387
0.55688475,-0.2313965428,-2.782384704,2.426334879,1686140011.1937587
0.56690375,-0.3254349732,-1.62076164,2.981147352,1686140011.2037778
0.57692375,-0.4190430486,-1.010504772,3.478932515,1686140011.2137978
0.58694375,-0.5584541184,-0.9243271925,4.276937703,1686140011.2238178
0.59696375,-0.9279408449,-1.09000834,4.889383256,1686140011.2338376
0.60698375,-1.61274043,-1.5458781030000002,5.115646529,1686140011.2438576
0.61700375,-2.063288276,-1.854521043,4.968477958,1686140011.2538776
0.62702375,-1.987319496,-1.972958004,4.776534918,1686140011.2638977
0.63704275,-1.673574277,-1.824579352,4.610358803,1686140011.2739167
0.64706275,-1.830729307,-1.202549773,4.2642483680000005,1686140011.2839367
0.65708275,-2.486019748,-0.1965290111,4.188405011,1686140011.2939568
0.66710275,-2.617318391,0.4553549887,3.890689348,1686140011.3039768
0.67712275,-2.7822864710000004,0.5469470903,2.823166695,1686140011.3139968
0.68714275,-2.71626322,0.6798595646,2.07361329,1686140011.3240168
0.69716275,-2.8653186880000003,0.6416342694,1.720004677,1686140011.3340368
0.70718175,-2.933590193,0.5929003581,1.695106648,1686140011.3440557
0.71720175,-3.405247073,1.192977296,1.804876135,1686140011.3540757
0.72722175,-4.483080121,2.915421432,1.906833158,1686140011.3640957
0.73724175,-5.3954808210000005,4.91186697,2.678692521,1686140011.3741157
0.74726175,-5.550053721,6.045971282999999,3.469916108,1686140011.3841357
0.75728175,-6.0458970239999985,6.083480587,3.66252193,1686140011.3941557
0.76730075,-7.432273024,5.669107125,3.697895538,1686140011.4041748
0.77732075,-8.004103233,5.448126812000001,3.287299377,1686140011.4141948
0.78734075,-7.226491964,5.893819131,2.174160256,1686140011.4242146
0.79736075,-5.0323745760000005,6.736968917,0.9976525193,1686140011.4342346
0.80738075,-2.4614386390000003,6.563236445,-0.1181008923,1686140011.4442546
0.81740075,-1.3214339,5.219960271000001,-0.9422562906,1686140011.4542747
0.82741975,-1.032124779,3.682371181,-1.528661269,1686140011.4642937
0.83743975,0.3423000973,2.470039016,-2.28261982,1686140011.4743137
0.84745975,1.30437114,2.48392703,-3.265658247,1686140011.4843338
0.85747975,1.920930794,2.532171822,-4.369210567,1686140011.4943538
0.86749975,2.179074841,2.775665084,-4.820904175,1686140011.5043738
0.87751975,1.4974321680000002,3.650588348,-4.129349887,1686140011.5143938
0.88753975,0.7642392719,4.194179721,-3.521522464,1686140011.5244138
0.89755875,0.441084128,4.571626554,-2.755295139,1686140011.5344326
0.90757875,0.5263435489,4.288231308,-2.235400484,1686140011.5444527
0.91759875,0.9869889522,3.498038584,-1.937159157,1686140011.5544727
0.92761875,1.041666266,2.083940057,-0.2910475345,1686140011.5644927
0.93763875,1.551240585,-1.961301287,0.4295399702,1686140011.5745127
0.94765875,2.997917166,-7.818881567999999,-0.9649449492,1686140011.5845327
0.95767875,1.929480593,-2.478589399,0.5772336209000001,1686140011.5945528
0.96769775,0.2055921954,6.835377556,1.77929252,1686140011.6045718
0.97771775,-1.851296888,5.744761909,0.28325776420000004,1686140011.6145916
0.98773775,-2.8314071760000004,-0.7344207378000001,-1.297622284,1686140011.6246116
0.99775775,-0.6876196969,-2.981371885,-2.037985035,1686140011.6346316
1.00777775,0.4268976134,0.4582500914,-2.023029027,1686140011.6446517
1.01779775,0.1231341755,2.258768589,-1.82633454,1686140011.6546717
1.02781775,-0.7273199522,2.24890039,-0.0151103016,1686140011.6646917
1.03783675,-0.946775896,0.06300820716,2.550439693,1686140011.6747108
1.04785675,-0.2827321726,-2.106072645,4.621541018,1686140011.6847308
1.05787675,0.7823358196,-3.643257401,4.973303665,1686140011.6947508
1.06789675,2.063595255,-5.339764457,3.670937535,1686140011.7047708
1.07791675,2.6957231210000003,-5.557843966,1.743247798,1686140011.7147908
1.08793675,3.157674792,-3.504328142,0.4300953095,1686140011.7248106
1.09795575,4.16029686,-3.107259807,-0.5994354987,1686140011.7348297
1.10797575,5.62581434,-4.321338535,-2.196102956,1686140011.7448497
1.11799575,7.19044154,-4.065464963,-4.698871615,1686140011.7548697
